ORGAO;FORNECEDOR;CNPJ;OBJETO;VALOR;MODALIDADE;CONTRATO;DATA_ASSINATURA;VIGENCIA_DIAS;PROCESSO_ADM;LICITACAO;EVENTO;DATA_PUBLICACAO
SÃO PAULO TURISMO;Recon Produtora e Eventos Eilrei EPP;24.598.745/0001-62;Contratação, sob o regime de empreitada por preço unitário, de empresa para prestação de serviço de transporte, instalação, manutenção e retirada de Placas Metálicas de Fechamento, para atendimento parcelado a diversos eventos, por um período de 24 (vinte e quatro) meses, prorrogáveis por iguais ou menores períodos, conforme bases, condições e especificações do Edital e seus Anexos.;1.072.630,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;013/20;31/1/2020;720;1003/19;083/19;EXTRATO DE CONTRATO / NOTA DE EMPENHO;28/2/2020
SAÚDE;COMERCIAL CIRÚRGICA RIOCLARENSE LTDA.;67.729.178/0004-91;Registro de preços para o fornecimento de ANTI-INFECCIOSOS E NEUROTRANSMISSOR.;1.070.142,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;345/2019-SMS.G;11/2/2020;360;6018.2019/0065509-2;345/2019-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;28/2/2020
CULTURA;MLC LOCAÇÕES, PRODUÇÕES E EVENTOS EIRELI - ME;26.125.975/0001-30;Contratação de empresa especializada em serviço de iluminação com fornecimento de equipamentos, e sua operacionalização, incluindo mão de obra, para unidades da Secretaria Municipal de Cultura;1.069.261,76;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;015/SMC-G/2018;8/4/2020;360;6025.2017/0011316-2;6025.2017/0011316-2;EXTRATO DE ADITAMENTO;18/7/2020
SAÚDE;FRESENIUS KABI BRASIL LTDA.;49.324.221/0020-77;Registro de preços para o fornecimento de REPOSITORES HIDROELETROLÍTICOS, CORTICOSTERÓIDE E BRONCODILATADOR.;1.068.507,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;327/2020-SMS.G;17/8/2020;365;6018.2020/0030461-5;251/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;21/8/2020
AUTARQUIA HOSPITALAR MUNICIPAL;M.J.A. DISTRIBUIDORA DE PRODUTOS ODONTOLOGICOS, ME;22.183.053/0001-28;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS DE BUCO MAXILO FACIAL COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS, PARA O PERÍODO DE 12 (DOZE) MESES A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.CL;1.067.238,39;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;006/2019;4/12/2019;360;6110.2018/0003631-5;443/2018;EXTRATO DE ADITAMENTO;9/1/2020
EDUCAÇÃO;SERSIL DO BRASIL SERVIÇOS TERCEIRIZADOS EIRELI EPP;59.645.168/0001-05;Contratação de Empresa para Execução de Serviços de Conservação e Limpeza de Instalações Prediais, Mobiliários, Materiais Educacionais e de Escritório, Áreas Internas e Externas das Unidades Administrativas Centrais da Secretaria Municipal de Educação;1.064.880,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;60/SME/2020;13/4/2020;360;6016.2018/0009550-7;03/SME/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;1/5/2020
SAÚDE;MC MURA PEREIRA COM. DE PROD. FARM. - ME;20.995.679/0001-03;Registro de preços para o fornecimento de CORTICOSTERÓIDE, ANTI-HELMÍNTICO E OFTÁLMICOS.;1.064.041,56;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;332/2020-SMS.G;12/8/2020;365;6018.2020/0034799-3;250/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;14/8/2020
FAZENDA;ESDEVA INDÚSTRIA GRÁFICA LTDA;17.153.081/0005-96;Prestação de serviços de IMPRESSÃO DE DOCUMENTOS ELETRÔNICOS, compreendendo a impressão em padrão laser, acabamento automatizado e/ou manual, o fornecimento de formulários A3 e A4 de diversas gramaturas, alguns com cores e personalizações específicas, e entrega ou postagem dos produtos em locais previamente descrito, utilizando formulários conforme especificações descritas na Parte 2 do Termo de Referência.;1.059.954,76;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;17/2020;5/6/2020;360;6017.2019/0072950-3;08/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;18/6/2020
EDUCAÇÃO;FERNANDA FELIPE CAMINHOLA;21.423.737/0001-97;Contratação de empresa, por meio de licitação, para o fornecimento de Máscaras em Tecido de Uso não Profissional tamanhos P, M e G, para os alunos, servidores das Unidades de Educação da Rede Municipal Direta de Ensino e Servidores da SME.;1.059.456,57;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;285/SME/2020;6/10/2020;360;6016.2020/0062539-9;43/SME/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;16/10/2020
SUBPREFEITURA: PARELHEIROS;ERA TECNICA ENGENHARIA CONSTRUCOES E SERVICOS LTDA;65.035.222/0001-95;LOCAÇÃO DE EQUIPAMENTOS PESADOS DO TIPO RETROESCAVADEIRA E ROLO COMPACTADOR COM OPERADOR E COMBUSTÍVEL EM CONFORMIDADE COM O TERMO DE REFERÊNCIA DESTE EDITAL;1.059.177,60;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;002/SUB-PA/2020;30/9/2020;360;6047.2019/0000192-9;08/SUB-PA/2019;EXTRATO DE ADITAMENTO;22/12/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;SOCIEDADE BENEFICENTE SÃO CAMILO;60.975.737/0002-32;CONTRATAÇÃO DE SERVIÇOS PARA REALIZAÇÃO DE ENDOSCOPIA DIGESTIVA BAIXA (COLONOSCOPIA) COM POLIPECTOMIA E/ OU BIÓPSIA E ENDOSCOPIA DIGESTIVA BAIXA (COLONOSCOPIA) SEM POLIPECTOMIA E/OU BIÓPSIA EM REGIME AMBULATORIAL E HOSPITALAR;1.052.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;410/2020;1/12/2020;90;6210.2020/0006988-1;331/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;10/12/2020
SAÚDE;POLAR FIX INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPIT;02.881.877/0001-64;Registro de preços para o fornecimento de COMPRESSA, CIRÚRGICA 10 CM X 9 CM - ALGODÃO HIDROFILO BOLAS 95GR E ATADURA CREPE TIPO 1, 10 CM X 180CM.;1.047.539,86;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;378/2020-SMS.G;24/9/2020;365;6018.2019/0086109-1;234/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;2/10/2020
SEGURANÇA URBANA;FACTUM EQUIPAMENTOS PARA SANEAMENTO EIRELI EPP;88.843.370/0001-31;aquisição de Hidrantes públicos de coluna e respectivas peças de reposição, para manutenção e troca de tais itens em trabalho conjunto  da Defesa Civil com as Subprefeituras.;1.046.000,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;ETC - 011/SMSU/2019;8/7/2020;360;6029.2018/0003132-1;022/SMSU/2019;EXTRATO DE ADITAMENTO;9/7/2020
ESPORTES E LAZER;HIGIENIX HIGIENIZAÇÃO E SERVIÇOS LTDA;09.212.711/0001-02;Contratação de empresa especializada em prestação de serviços de limpeza, asseio e conservação/manutenção predial, desinsetização, dedetização e desratização, e limpeza de caixa d?água/reservatório de água nas unidades da SEME.;1.044.315,48;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;058/SEME/2020;26/8/2020;360;6019.2019/0000153-5;004/SEME/2019;EXTRATO DE ADITAMENTO;5/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;OXY SYSTEM EQUIPAMENTOS MEDICOS LTDA;58.763.350/0001-90;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE EQUIPAMENTOS ELETROMEDICOS E EQUIPAMENTOS DE ASSISTÊNCIA VENTILATÓRIA PULMONAR MICROPROCESSADOS, NOVOS, INCLUINDO MANUTENÇÃO PREVENTIVA E CORRETIVA, CALIBRAÇÃO E TESTES DE SEGURANÇA COM EMISSÃO DE CERTIFICADOS, PARA AS UNIDADES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.;1.039.991,86;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 003/20 TC 095/16;27/3/2020;;2015-0.094.268-1;112/2016;EXTRATO DE ADITAMENTO;7/5/2020
SÃO PAULO TURISMO;Troupe Produções LTda;66.106.600/0001-47;Contratação de empresa(s) especializada(s) para a prestação de serviços de sistema(s) de iluminação para eventos, compreendendo montagem, instalação, operação, desmontagem, equipamentos, transporte, materiais e acessórios para seu funcionamento, sob o regime de empreitada por preço unitário, para atendimento parcelado a diversos eventos dentro do período de 12 meses, prorrogáveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos.;1.037.322,87;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;CCN/GCO 019/19;24/4/2020;360;115/18;021/18;EXTRATO DE ADITAMENTO;9/6/2020
SAÚDE;CBS MÉDICO CIENTÍFICA S/A;48.791.685/0001-68;Registro de preços para o fornecimento de MICRONEBULIZADOR PARA INALAÇÃO COM MÁSCARA PARA OXIGÊNIO, ADULTO E SONDA ENDOTRAQUEAL COM BALÃO, RADIOPACO, DESCARTÁVEL, ESTÉRIL, NR. 4,0.;1.037.184,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;519/2020-SMS.G;7/12/2020;365;6018.2020/0052808-4;313/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;24/12/2020
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;CELEBRE AMBIENTAL EIRELI-EPP;12.616.824/0001-70;Contratação de serviços de manutenção do sistema de drenagem através de limpeza mecanizada de galerias, ramais de águas pluviais e poços de visita  desidratação e transporte dos resíduos para aterro sanitário, pelo período de 12 (doze) meses.;1.036.339,20;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/SUB-AF/2020;10/3/2020;180;201403054017;12/SP-AF/2014;EXTRATO DE ADITAMENTO;12/3/2020
SAÚDE;PORTAL LTDA.;05.005.873/0001-00;Registro de preços para o fornecimento de CORTICOSTERÓIDE, ANTI-HELMÍNTICO E OFTÁLMICOS.;1.035.990,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;329/2020-SMS.G;14/8/2020;365;6018.2020/0034799-3;250/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;21/8/2020
SÃO PAULO OBRAS;INTERATIVA-DEDETIZAÇÃO, HIGIENIZAÇÃO E CONSERVAÇÃO;05.058.935/0001-42;Prestação de serviços de limpeza, asseio e conservação predial, com fornecimento de mão de obra, saneantes domissanitários, materiais e equipamentos, visando à obtenção de adequadas condições de salubridade e higiene  serviços de copeiragem e ascensorista, todos sob a inteira responsabilidade da Contratada, na sede da São Paulo Obras ?SPObras, nas condições especificadas neste edital, Termo de Referência e Anexos;1.033.885,20;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;0101530100;3/9/2020;720;010153010;002/2015;EXTRATO DE ADITAMENTO;12/9/2020
SAÚDE;AÇOFORTE SEGURANÇA E VIGILÂNCIA EIRELLI;07.447.264/0001-37;Contratação de EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA PATRIMONIAL ARMADA E DESARMADA, COM INSTALAÇÃO DE SISTEMA DE CFTV COM MANUTENÇÃO PREVENTIVA E CORRETIVA DO SISTEMA E MONITORAMENTO DE IMAGENS E RONDA ELETRÔNICA PARA AS UNIDADES PERTENCENTES AO GABINETE DA SECRETARIA MUNICIPAL DA SAÚDE.;1.032.935,12;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;085/2015-SMS-1/CONTR;5/3/2020;120;2013-0.291.564-5;239/2014-SMS.G;EXTRATO DE ADITAMENTO;1/4/2020
EDUCAÇÃO;MASSAS ALIMENTÍCIAS DA ROZ LTDA;51.377.935/0001-22;Registro de preços para aquisição de alimentos não perecíveis (ITEM A ? Macarrão de sêmola sem ovos curto, ITEM B ? Macarrão de sêmola sem ovos para sopa, ITEM C ? Macarrão integral sem ovos curto e ITEM D ? Macarrão de sêmola com vegetais sem ovo curto);1.032.240,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;07/SME/CODAE/2020;19/2/2020;360;6016.2018/0054979-6;02/SME/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;4/3/2020
SUBPREFEITURA: GUAIANASES;JUMPER SEGURANÇA E VIGILANCIA PATRIMONIAL EIRELI;26.886.266/0001-77;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE SEGURANÇA E VIGILANCIA PATRIMONIAL DESARMADA, PARA SUB-G;1.028.380,20;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 03/2020;30/11/2020;180;6038.2018/0000597-4;13/SUB-G/2018;EXTRATO DE ADITAMENTO;19/12/2020
SAÚDE;DENTAL OESTE EIRELI - EPP;05.412.147/0001-02;Registro de preços para fornecimento de MATERIAL ODONTOLÓGICO: INSTRUMENTOS ROTATÓRIOS DIVERSOS.;1.027.752,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;239/2020-SMS.G;22/6/2020;365;6018.2020/0005275-6;140/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;1/7/2020
SAÚDE;INTERLAB FARMACÊUTICA LTDA;43.295.831/0001-40;Registro de preços para o fornecimento de INSULINA LISPRO (HUMALOG) - FR 3ML  FR 10ML E KWIPEN, para o cumprimento de Determinações Judiciais - Ações Judiciais.;1.027.068,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;505/2020-SMS.G;19/11/2020;365;6018.2020/0059265-3;383/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;9/12/2020
SAÚDE;CREMER S/A;82.641.325/0021-61;Registro de preços para o fornecimento de BISTURIS DESCARTÁVEIS.;1.019.120,04;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;316/2020-SMS.G;5/8/2020;365;6018.2020/0006697-8;173/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;11/8/2020
SÃO PAULO TURISMO;Innovia Sistemas de Inteligência de transito Eire;30.097.517/0001-01;"Contratação de Empresa, em regime de empreitada por preço global, para a prestação de serviço de transporte, instalação e retirada de MATERIAL DE ORIENTAÇÃO DE TRÂNSITO (cavalete, cone e super cone) com material próprio, para atendimento ao evento: ""CARNAVAL DE RUA 2020""., conforme bases, especificações e condições do Edital e seus Anexos.";1.018.928,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;035/20;14/2/2020;48;1100/19;097/19;EXTRATO DE CONTRATO / NOTA DE EMPENHO;28/2/2020
SÃO PAULO TURISMO;CAPE Feiras e Eventos Eireli;17.332.146/0001-37;Contratação de empresa especializada em estruturas, sob regime de empreitada por preço unitário, para prestação de serviço de Tendas 10 x 10 metros com piso, compreendendo material, transporte, montagem e desmontagem, para atendimento parcelado a diversos eventos por um período de 12 meses, renováveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos.;1.017.500,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;054/19;22/9/2020;360;193/18;046/19;EXTRATO DE ADITAMENTO;5/11/2020
SAÚDE;IBF ? INDÚSTRIA BRASILEIRA DE FILMES S/A;33.255.787/0001-91;Registro de preços para o fornecimento de FILME PARA RAIO-X II.;1.017.034,20;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;357/2020-SMS.G;10/9/2020;365;6018.2020/0037611-0;266/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;1/10/2020
SERVIÇO FUNERÁRIO;L15 TRANSPORTES E SERVIÇOS EIRELI;08.827.645/0001-04;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA GESTÃO E OPERAÇÃO LOGÍSTICA DE FLUXO DE MATERIAIS DE REVENDA, COMPREENDENDO OS SERVIÇOS DE RECEBIMENTO, ARMAZENAGEM, MPVIMENTAÇÃO E GESTÃO DE ESTOQUES;1.014.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;61/SFMSP/2020;3/11/2020;180;6410.2020/0010307-6;034/SFMSP/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;5/11/2020
SAÚDE;APETECE SISTEMAS DE ALIMENTAÇÃO S/A;60.166.832/0001-04;PRESTAÇÃO      DE          SERVIÇOS           DE          NUTRIÇÃO E ALIMENTAÇÃO TRANSPORTADA E FORNECIMENTO DE KIT LANCHES PARA EVENTOS DIVERSOS;1.012.993,08;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;09/2018;3/8/2020;360;6018.2018/0021970-3;20/2018;EXTRATO DE ADITAMENTO;20/8/2020
SAÚDE;DE PAULI COMÉRCIO REPRESENTAÇÃO IMPORTAÇÃO E EXPOR;03.951.140/0001-33;Registro de preços para o fornecimento de MÁSCARA DESCARTÁVEL PARA PROTEÇÃO RESPIRATÓRIA, para fins de enfrentamento da emergência de saúde pública de importância internacional decorrente do novo coronavírus, causador da COVID-19.;1.012.177,92;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;315/2020-SMS.G;3/8/2020;365;6018.2020/0015184-3;200/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;13/8/2020
SAÚDE;CIRÚRGICA FERNANDES COMÉRCIO DE MATERIAIS CIRÚRGIC;61.418.042/0001-31;Registro de preços para o fornecimento de ESPAÇADOR VALVULADO E FIO GUIA, MANDRIL, PARA INTUBAÇÃO ENDOTRAQUEAL, FLEXIVEL, DESCARTÁVEL, ESTÉRIL.;1.009.658,40;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;101/2020-SMS.G;24/3/2020;365;6018.2019/0021810-5;220/2019-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;15/4/2020
CULTURA;SEVEN ASSESSORIA E SERVIÇOS ESPECIALIZADOS LTDA;11.893.612/0001-77;Contratação de empresa especializada na prestação de serviços de Prevenção e Combate a incêndio, pânico e atendimento de emergência, para serem executados por Bombeiro Profissional Civil na Secretaria Municipal de Cultura, conforme especificações constantes do Anexo II deste Edital. A participação no presente pregão dar-se-á por meio de sistema eletrônico, pelo acesso ao site www.bec.sp.gov.br ou www.bec.fazenda.gov.br, nas condições descritas no Edital.;1.008.204,95;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;02/2017/SMC/CCSP;21/10/2020;360;6025.2016/0007206-5;6025.2016/0007206-5;EXTRATO DE ADITAMENTO;28/11/2020
EDUCAÇÃO;G6 MULTISSERVIÇOS DE LOCAÇÃO E TRANSPORTES EIRELI;10.708.894/0001-22;Contratação de EMPRESA ESPECIALIZADA EM SERVIÇOS DE LOGÍSTICA para atendimento simultâneo, consecutivo e/ou sazonal das operações logísticas pretendidas pela Secretaria Municipal de Educação para serviços/atividades logísticas.;1.008.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;410/SME/2020;23/11/2020;360;6016.2018/0080693-4;48/SME/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;3/12/2020
SÃO PAULO TURISMO;TECNOLAMP DO BRASIL LÂMPADAS E ACESSÓRIOS LTDA;00.119.405/0001-43;OBJETO: Contratação de empresa especializada em iluminação, sob o regime de empreitada por preço global, para prestação de serviço de engenharia para realização de decoração natalina com projeto, montagem, manutenção e desmontagem do Projeto Especial de Iluminação Natalina, para atendimento ao evento ?FESTIVAL DE NATAL DE SÃO PAULO ? EDIÇÃO: UM SONHO DE CIDADE?, conforme bases, especificações e condições do Edital e seus Anexos.;1.006.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;CCN/GCO 078/20;27/11/2020;75;7210.2020/0001278-5;033/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;19/12/2020
INFRAESTRUTURA E OBRAS;PAINEIRAS LIMPEZA E SERVIÇOS GERAIS LTDA;55.905.350/0001-99;Prestação de serviços de copeiragem, limpeza predial, conservação, limpeza de caixas d´água, desinfecção, desinsetização e desratização, com fornecimento de mão-de-obra, saneantes domissanitários, materiais de consumo, utensílios, máquinas e equipamentos, nas dependências da Secretaria Municipal de Infraestrutura Urbana e Obras - SIURB e nas áreas, conforme especificações constantes do Anexo II deste Edital.;1.005.069,84;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;052/SIURB/18;8/11/2018;360;6022.2018/0000781-3;005/18/SIURB;EXTRATO DE ADITAMENTO;4/12/2020
SAÚDE;HOSPBOX DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTD;23.866.426/0001-28;Registro de preços para o fornecimento de HIPOCLORITO DE SÓDIO E ALCOOL ETILICO.;998.683,92;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;190/2020-SMS.G;27/5/2020;365;6018.2019/0069675-9;060/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;6/6/2020
ESPORTES E LAZER;AT & Santos Consultoria e Serviços Eireli;10.394.719/0001-08;Contratação de empresa especializada para a prestação de serviços de limpeza, asseio e conservação/manutenção predial  limpeza da caixa d?água   desratização e desinsetização, dentro das periodicidades descritas no Edital, com apoio tecnológico (software e hardware) para fiscalização e controle de qualidade dos serviços executados, gerando relatórios de bi (business intelligence), nos termos da Lei Estadual nº 2.846 de 27 de maio de 1981, através da empresa especializada visando a obtenção de adequadas condições de salubridade e higiene  com disponibilização de mão de obra, saneantes domissanitários, materiais e equipamentos necessários para este fim, a serem prestados nas Unidades da Administração Direta da SEME, conforme especificações constantes do Memorial Descritivo, parte integrante do Edital.;995.786,54;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;45/SEME/2020;29/10/2020;360;6019.2020/0001213-0;018/seme/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;30/10/2020
SÃO PAULO TURISMO;Recon Produtora e Eventos Eireli-EPP;24.598.745/0001-62;Contratação de Empresa Especializada em locação de grades, em regime de empreitada por preço unitário, para a Locação de Grades de Proteção e Isolamento, compreendendo também os respectivos serviços de transporte, montagem e retirada, para atendimento parcelado a diversos eventos pelo período de 12 meses, renováveis por iguais ou menores períodos, conforme bases, condições e especificações do Edital e seus Anexos.;990.881,25;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;CCN/GCO 038/19;5/6/2020;360;180/19;016/19;EXTRATO DE ADITAMENTO;4/8/2020
SÃO PAULO TURISMO;Troupe Produções Ltda;66.106.600/0001-47;Contratação de empresa(s) especializada(s), sob o regime de empreitada por preço unitário, para a prestação de serviços de Grupos Geradores de Energia Elétrica com potência mínima de 450 kVA, incluindo Transporte, Mão de Obra, Materiais e Acessórios para seu funcionamento, para atendimento parcelado a diversos eventos por um período de 12 meses, prorrogáveis por iguais ou menores períodos, conforme bases, especificações e condições deste Edital e seus anexos.;990.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;020/20;5/2/2020;360;737/19;057/19;EXTRATO DE CONTRATO / NOTA DE EMPENHO;28/2/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;ASSOCIAÇÃO HOSPITALEIRA DE ASSISTÊNCIA SOCIAL;33.796.681/0003-67;LOCAÇÃO DE LEITOS/DIA PARA PACIENTES PSIQUIÁTRICOS CRÔNICOS E AGUDOS DO SEXO FEMININO;986.047,50;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;150/2020;15/5/2020;360;6210.2017/0001606-5;144/2018;EXTRATO DE ADITAMENTO;16/6/2020
DIREITOS HUMANOS E CIDADANIA;UNISERV TERCEIRIZAÇÃO E SERVIÇOS LTDA;03.641.257/0001-10;Contratação de empresa especializada na prestação de serviços de limpeza, asseio, conservação predial, das áreas internas e externas visando à obtenção de adequadas condições de salubridade e higiene com disponibilização de mão-de-obra e com fornecimento de materiais de limpeza, saneantes domissanitários, papel toalha e papel higiênico, sabonete líquido, reposição de saboneteiras, dispensers de papel, máquinas, utensílios e equipamentos incluindo-se o controle de pragas semestralmente a serem executados nas instalações da Secretaria Municipal de Direitos Humanos e Cidadania ? SMDHC ? Edifício São Joaquim.;985.228,56;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;029/SMDHC/2018;17/9/2020;360;6074.2018/0000085-5;019/SMDHC/2018;EXTRATO DE CONTRATO / NOTA DE EMPENHO;1/10/2020
CULTURA;HIGIENIX HIGIENIZAÇÃO E SERVIÇOS LTDA;09.212.711/0001-02;Para  contratação de empresa para prestação de serviços de limpeza, asseio e conservação predial, áreas internas e externas, incluindo serviços de desinsetização, dedetização e desratização, para o edifício sede da secretaria Municipal de Cultura (Edifício Olido) e Central de Serviços do Pari (Rua Pascoal Ranieri, 75), conforme as especificações constantes do memorial descritivo;985.136,12;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;15/SMC-G/2016;14/11/2019;360;6025.2016/0001032-9;6025.2016/0001032-9;EXTRATO DE ADITAMENTO;24/3/2020
SAÚDE;NEOFTAL SERVIÇOS MÉDICOS LTDA.;03.334.235/0001-08;Contratação de EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE OFTALMOLOGIA ESPECIALIZADA EM RETINOPATIA DA PREMATURIDADE.;982.800,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;115/2020-SMS-1/CONTR;10/11/2020;360;6018.2020/0034230-4;264/2020-SMS.G;EXTRATO DE CONTRATO / NOTA DE EMPENHO;24/11/2020
SAÚDE;NEOFTAL SERVIÇOS MÉDICOS LTDA.;03.334.235/0001-08;Contratação de EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE OFTALMOLOGIA ESPECIALIZADA EM RETINOPATIA DA PREMATURIDADE.;982.800,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;115/2020-SMS-1/CONTR;28/8/2020;360;6018.2020/0034230-4;264/2020-SMS.G;EXTRATO DE CONTRATO / NOTA DE EMPENHO;2/9/2020
DIREITOS HUMANOS E CIDADANIA;SP LOCSERV LOCAÇÃO DE VEÍCULOS E SERVIÇOS GERAIS L;11.246.575/0001-05;Contratação de empresa especializada em locação de veículos com condutor, combustível, despesas com pedágios, avarias e multas e KM livre para a SMPM.;982.481,52;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;021/2015-SMPM;1/12/2020;360;2015-0.245.826-4;003/SMPM/2015;EXTRATO DE ADITAMENTO;5/12/2020
